Date,Open,High,Low,Close,Adj Close,Volume
2018-12-06,1305.000000,1330.000000,1290.000000,1300.000000,1300.000000,7401100
2018-12-07,1315.000000,1360.000000,1305.000000,1345.000000,1345.000000,26195600
2018-12-10,1310.000000,1335.000000,1300.000000,1310.000000,1310.000000,6745200
2018-12-11,1300.000000,1305.000000,1255.000000,1290.000000,1290.000000,15347700
2018-12-12,1300.000000,1300.000000,1275.000000,1285.000000,1285.000000,11953500
2018-12-13,1290.000000,1340.000000,1290.000000,1310.000000,1310.000000,13009100
2018-12-14,1300.000000,1325.000000,1285.000000,1320.000000,1320.000000,13875100
2018-12-17,1300.000000,1315.000000,1255.000000,1255.000000,1255.000000,14660000
2018-12-18,1245.000000,1260.000000,1230.000000,1240.000000,1240.000000,11576800
2018-12-19,1250.000000,1290.000000,1250.000000,1260.000000,1260.000000,12729600
2018-12-20,1250.000000,1275.000000,1240.000000,1250.000000,1250.000000,9003700
2018-12-21,1250.000000,1260.000000,1220.000000,1230.000000,1230.000000,14003200
2018-12-24,1230.000000,1230.000000,1230.000000,1230.000000,1230.000000,0
2018-12-25,1230.000000,1230.000000,1230.000000,1230.000000,1230.000000,0
2018-12-26,1220.000000,1230.000000,1190.000000,1210.000000,1210.000000,6731100
2018-12-27,1240.000000,1265.000000,1215.000000,1255.000000,1255.000000,15787300
2018-12-28,1260.000000,1280.000000,1245.000000,1255.000000,1255.000000,15853100
2018-12-31,1255.000000,1255.000000,1255.000000,1255.000000,1255.000000,0
2019-01-01,1255.000000,1255.000000,1255.000000,1255.000000,1255.000000,0
2019-01-02,1255.000000,1270.000000,1245.000000,1255.000000,1255.000000,5913400
2019-01-03,1260.000000,1320.000000,1255.000000,1320.000000,1320.000000,15494300
2019-01-04,1310.000000,1355.000000,1305.000000,1355.000000,1355.000000,16848600
2019-01-07,1380.000000,1410.000000,1380.000000,1405.000000,1405.000000,37577400
2019-01-08,1405.000000,1445.000000,1380.000000,1390.000000,1390.000000,31487100
2019-01-09,1400.000000,1410.000000,1370.000000,1410.000000,1410.000000,14759300
2019-01-10,1420.000000,1460.000000,1385.000000,1460.000000,1460.000000,24524700
2019-01-11,1460.000000,1480.000000,1420.000000,1480.000000,1480.000000,29386800
2019-01-14,1475.000000,1500.000000,1450.000000,1475.000000,1475.000000,16867800
2019-01-15,1475.000000,1510.000000,1465.000000,1510.000000,1510.000000,15577000
2019-01-16,1500.000000,1505.000000,1455.000000,1480.000000,1480.000000,16170100
2019-01-17,1450.000000,1475.000000,1400.000000,1400.000000,1400.000000,25720300
2019-01-18,1400.000000,1430.000000,1390.000000,1400.000000,1400.000000,17561300
2019-01-21,1400.000000,1425.000000,1330.000000,1330.000000,1330.000000,31742100
2019-01-22,1345.000000,1400.000000,1340.000000,1400.000000,1400.000000,23247500
2019-01-23,1400.000000,1460.000000,1400.000000,1440.000000,1440.000000,33320400
2019-01-24,1450.000000,1460.000000,1395.000000,1395.000000,1395.000000,23028500
2019-01-25,1400.000000,1460.000000,1395.000000,1450.000000,1450.000000,17337100
2019-01-28,1460.000000,1475.000000,1380.000000,1385.000000,1385.000000,24538000
2019-01-29,1385.000000,1395.000000,1365.000000,1375.000000,1375.000000,15123400
2019-01-30,1400.000000,1400.000000,1325.000000,1325.000000,1325.000000,21199900
2019-01-31,1350.000000,1405.000000,1330.000000,1330.000000,1330.000000,58370900
2019-02-01,1360.000000,1390.000000,1350.000000,1385.000000,1385.000000,18993600
2019-02-04,1395.000000,1405.000000,1360.000000,1365.000000,1365.000000,9934000
2019-02-05,1365.000000,1365.000000,1365.000000,1365.000000,1365.000000,0
2019-02-06,1375.000000,1440.000000,1370.000000,1430.000000,1430.000000,24797700
2019-02-07,1440.000000,1445.000000,1405.000000,1410.000000,1410.000000,9398200
2019-02-08,1400.000000,1405.000000,1375.000000,1400.000000,1400.000000,11144100
2019-02-11,1400.000000,1400.000000,1350.000000,1360.000000,1360.000000,16870600
2019-02-12,1360.000000,1365.000000,1295.000000,1335.000000,1335.000000,27958300
2019-02-13,1355.000000,1360.000000,1315.000000,1320.000000,1320.000000,5969100
2019-02-14,1345.000000,1345.000000,1315.000000,1345.000000,1345.000000,6549400
2019-02-15,1340.000000,1340.000000,1295.000000,1320.000000,1320.000000,15959900
2019-02-18,1325.000000,1330.000000,1295.000000,1300.000000,1300.000000,15968000
2019-02-19,1300.000000,1320.000000,1285.000000,1310.000000,1310.000000,8028400
2019-02-20,1320.000000,1345.000000,1300.000000,1330.000000,1330.000000,22880000
2019-02-21,1340.000000,1350.000000,1305.000000,1315.000000,1315.000000,15551300
2019-02-22,1315.000000,1320.000000,1285.000000,1310.000000,1310.000000,10666200
2019-02-25,1315.000000,1325.000000,1295.000000,1325.000000,1325.000000,11024500
2019-02-26,1325.000000,1340.000000,1305.000000,1335.000000,1335.000000,11150100
2019-02-27,1335.000000,1380.000000,1330.000000,1365.000000,1365.000000,27744300
2019-02-28,1370.000000,1375.000000,1340.000000,1355.000000,1355.000000,25134200
